address,amount_usd,change_percent,error
0x654b22705f2a06cd6d9120d2ac0f7dd659ebfc6e,1135,+9.56%,
0x6780a7be5ed085de037ccf1a3214d2a8d463879c,19,+1.59%,
0x6ca07af3682375fae1d3ad5b66e684c4d6aef783,2459,+14.98%,
0x707b5e0447cd57c69801b0c274c548800024e7f4,215,-57.25%,
0x71b585d876e426518a115c7a3185323474ff21e6,7459,-0.00%,
0x73b1e850f1c360730ec67aeb3fa144a88327c6e7,236,+1.79%,
0x74ba16a57f81dffb573f0427030f1502833bb040,22,-96.78%,
0x7f1abe8c1de9dc475fc330688d739b706ac4aeb6,59793,+0.82%,
0x81e9137e1d3c8ec6dc5d3af6b61dbd1ba11beeb6,149417,+0.82%,
0x841becc07885fde1530dda577eeb129837eaa333,16,+0.65%,
0x8a3630c9a91f4a1db8b36ad38f539294eaa434c9,3463,+15.83%,
0x8cc0ab3c993ab8c4b87ce2570457af00788ff6ac,44,+0.79%,
0x8d7ce1107aebee1e3a9eb4da703da1a2b36b33ae,2198,+0.65%,
0x8f0d30188584b606d96fb482eef0b61b5713c3ae,60,-5.59%,
0x90ca0eacf720c8c86ef50109cc19dccabd6e0427,7,+30.85%,
0x91c3b834573ef1301ceb0822bcb95e0f7ccd42ec,1168,+0.20%,
0x99c2a232abebccb6dac6411d94b2f08369e00355,168,+3.91%,
0x9c9bc80806a8e43b0b6b1038bfcd4be74e23106a,84,+11.45%,
0x9ec8f246c6acf5f6446ed2f7ea5b92659c27178b,433,+0.44%,
0xabedbe8c3ece31e27831cd945a824fd6b91fc2e5,3093,+13.25%,
0xafef76d5de3cb0ab0c5f6a71f6f3a22cbce4407e,25,+0.21%,
0xb8a2068435741b6997d22c1b8b573150aa26cf78,925,+7.07%,
0xbd78b972560efe06bc46a5d45be93fe523025463,10,+1.17%,
0xbd9ba9d8d13c711eb5cde9b22723e7b1939e9c78,2630,-0.19%,
0xbefe58f4f74c3b5bd6c952ed551c9810dce3c9ac,7301,+1.30%,
0xc03f81a789036646ef9f5554962b868c5e179a5b,1458,+2.24%,
0xc78ced0f4d6ce02e43ed68d248d51fd5150fda7e,392,+2.09%,
0xc9987910d4fcb5eec8b21fc2e9ca30395acadb34,5298,+1.04%,
0xca0e686d4400570db2b879c471f74427ff994e0e,398,+0.59%,
0xcb122f372cb0a2d1edf8fcadad82c24eea618981,10517,+2.00%,
0xd8f05e86fa51619d0867579e586e2a3a0097ef14,474,+0.43%,
0xdc86e2c5745a1248ea77993d55562434a4dea3ee,128,+0.10%,
0xe07c5e3fadfe965a49ea40f44a7665457eee0693,819,-82.87%,
0xe182b236cd93c3cc2be4af5e0cddc2ec8bf9a5a1,746,+0.87%,
0xe2458f8d9ae4a2458b240d05d42993d4510b8030,3486,+0.75%,
0xe84ed3ba93c442ee46cba23adbdb828be024684b,16,+10.79%,
0xe8a2bfaadff50c8ca75aac494134da77f9820b24,356541,+1.05%,
